"PROBEID","ENTREZID"
"885","201225_s_at","10250"
"886","201226_at","4714"
"887","201227_s_at","4714"
"888","201228_s_at","10425"
"889","201229_s_at","10425"
"890","201230_s_at","10425"
"891","201231_s_at","2023"
"892","201232_s_at","5719"
"893","201233_at","5719"
"894","201234_at","3611"
"895","201235_s_at","7832"
"896","201236_s_at","7832"
"897","201237_at","830"
"898","201238_s_at","830"
"899","201239_s_at","9789"
"900","201240_s_at","9789"
"901","201241_at","1653"
"902","201242_s_at","481"
"903","201243_s_at","481"
"904","201244_s_at","5894"
"905","201245_s_at","55611"
"906","201245_s_at","101927673"
"907","201246_s_at","55611"
"908","201246_s_at","101927673"
"909","201247_at","6721"
"910","201248_s_at","6721"
"911","201249_at","6513"
"912","201250_s_at","6513"
"913","201251_at","5315"
"914","201252_at","5704"
"915","201253_s_at","10423"
"916","201254_x_at","6194"
"917","201255_x_at","7917"
"918","201256_at","9167"
"919","201257_x_at","6189"
"920","201257_x_at","8944"
"921","201258_at","6217"
"922","201259_s_at","6856"
"923","201260_s_at","6856"
"924","201261_x_at","633"
"925","201262_s_at","633"
"926","201263_at","6897"
"927","201264_at","11316"
"929","201266_at","7296"
"930","201267_s_at","5702"
"931","201268_at","4831"
"932","201268_at","654364"
"933","201269_s_at","23386"
"934","201270_x_at","23386"
"935","201271_s_at","22913"
"936","201272_at","231"
"937","201273_s_at","6726"
"938","201274_at","5686"
"939","201275_at","2224"
"940","201276_at","5869"
"941","201277_s_at","3182"
"942","201278_at","1601"
"943","201279_s_at","1601"
"944","201280_s_at","1601"
"945","201281_at","11047"
"946","201282_at","4967"
"947","201283_s_at","22906"
"948","201284_s_at","327"
"949","201285_at","23608"
"950","201286_at","6382"
"951","201287_s_at","6382"
"952","201288_at","397"
"953","201289_at","3491"
"954","201290_at","23478"
"955","201291_s_at","7153"
"956","201292_at","7153"
"957","201293_x_at","5478"
"958","201294_s_at","26118"
"959","201295_s_at","26118"
"960","201296_s_at","26118"
"961","201297_s_at","55233"
"962","201298_s_at","55233"
"963","201299_s_at","55233"
"964","201300_s_at","5621"
"965","201301_s_at","307"
"966","201302_at","307"
"967","201303_at","9775"
"968","201304_at","4698"
"969","201305_x_at","10541"
"970","201306_s_at","10541"
"971","201307_at","55752"
"972","201308_s_at","55752"
"973","201309_x_at","9315"
"974","201310_s_at","9315"
"975","201311_s_at","6451"
"976","201312_s_at","6451"
"977","201313_at","2026"
"978","201314_at","10494"
"979","201315_x_at","10581"
"980","201316_at","5683"
"981","201317_s_at","5683"
"982","201318_s_at","10627"
"983","201318_s_at","103910"
"984","201319_at","10627"
"985","201320_at","6601"
"986","201321_s_at","6601"
"987","201322_at","506"
"988","201323_at","10969"
"989","201323_at","102465439"
"990","201324_at","2012"
"991","201325_s_at","2012"
"992","201326_at","908"
"993","201327_s_at","908"
"994","201328_at","2114"
"995","201329_s_at","2114"
"996","201330_at","5917"
"997","201331_s_at","6778"
"998","201332_s_at","6778"
"999","201333_s_at","23365"
"1000","201334_s_at","23365"
"1001","201335_s_at","23365"
"1002","201336_at","9341"
"1003","201337_s_at","9341"
"1004","201338_x_at","2971"
"1005","201339_s_at","6342"
"1006","201340_s_at","8507"
"1007","201341_at","8507"
"1008","201342_at","6631"
"1009","201343_at","7322"
"1010","201344_at","7322"
"1011","201345_s_at","7322"
"1012","201346_at","79602"
"1013","201347_x_at","9380"
"1014","201348_at","2878"
"1015","201349_at","9368"
"1016","201350_at","2319"
"1017","201351_s_at","10730"
"1018","201352_at","10730"
"1019","201353_s_at","11176"
"1020","201354_s_at","11176"
"1021","201355_s_at","11176"
"1022","201356_at","10291"
"1023","201357_s_at","10291"
"1024","201358_s_at","1315"
"1025","201359_at","1315"
"1026","201360_at","1471"
"1027","201361_at","79073"
"1028","201362_at","10625"
"1029","201363_s_at","10625"
"1030","201364_s_at","4947"
"1031","201365_at","4947"
"1032","201366_at","310"
"1033","201367_s_at","678"
"1034","201368_at","678"
"1035","201369_s_at","678"
"1036","201370_s_at","8452"
"1037","201371_s_at","8452"
"1038","201372_s_at","8452"
"1039","201373_at","5339"
"1040","201374_x_at","5516"
"1041","201375_s_at","5516"
"1042","201376_s_at","3185"
"1043","201377_at","9898"
"1044","201378_s_at","9898"
"1045","201379_s_at","7165"
"1046","201380_at","10491"
"1047","201381_x_at","27101"
"1048","201382_at","27101"
